group_name,total_return,total_return_pct,gross_profit,gross_loss,net_profit,trade_count,win_count,win_rate,win_rate_pct,profit_factor,vt_symbol
ALL,-0.008543660000000033,-0.85%,3975.0,-12518.66,-8543.66,8,3,0.375,37.50%,0.3175,RR0.DCE
GOOD_SETUP,-0.008543660000000033,-0.85%,2802.0,-4948.21,-2146.21,3,2,0.6666666666666666,66.67%,0.5663,RR0.DCE
NORMAL_SETUP,-0.008543660000000033,-0.85%,1173.0,-7570.44,-6397.44,5,1,0.2,20.00%,0.1549,RR0.DCE
ALL,0.01661723999999999,1.66%,71797.32,-55180.08,16617.24,32,15,0.46875,46.88%,1.3011,AU0.SHFE
GOOD_SETUP,0.01661723999999999,1.66%,65788.27,-39581.09,26207.18,20,11,0.55,55.00%,1.6621,AU0.SHFE
NORMAL_SETUP,0.01661723999999999,1.66%,6009.05,-15598.99,-9589.94,12,4,0.3333333333333333,33.33%,0.3852,AU0.SHFE
ALL,-0.015103699999999953,-1.51%,18038.0,-33141.7,-15103.7,30,13,0.43333333333333335,43.33%,0.5443,SR0.CZCE
GOOD_SETUP,-0.015103699999999953,-1.51%,4726.0,-16432.02,-11706.02,10,3,0.3,30.00%,0.2876,SR0.CZCE
NORMAL_SETUP,-0.015103699999999953,-1.51%,13312.0,-16709.68,-3397.68,20,10,0.5,50.00%,0.7967,SR0.CZCE
ALL,-0.02574395999999996,-2.57%,15099.29,-40843.25,-25743.96,29,7,0.2413793103448276,24.14%,0.3697,AL0.SHFE
GOOD_SETUP,-0.02574395999999996,-2.57%,0.0,-13336.57,-13336.57,6,0,0.0,0.00%,0.0,AL0.SHFE
NORMAL_SETUP,-0.02574395999999996,-2.57%,15099.29,-27506.68,-12407.39,23,7,0.30434782608695654,30.43%,0.5489,AL0.SHFE
ALL,0.004649859999999986,0.46%,33350.0,-28700.14,4649.86,25,12,0.48,48.00%,1.162,CU0.SHFE
GOOD_SETUP,0.004649859999999986,0.46%,23910.0,-17359.64,6550.36,9,4,0.4444444444444444,44.44%,1.3773,CU0.SHFE
NORMAL_SETUP,0.004649859999999986,0.46%,9440.0,-11340.5,-1900.5,16,8,0.5,50.00%,0.8324,CU0.SHFE
ALL,-0.005425640000000014,-0.54%,15635.0,-21060.64,-5425.64,18,7,0.3888888888888889,38.89%,0.7424,A0.DCE
GOOD_SETUP,-0.005425640000000014,-0.54%,810.0,-16758.79,-15948.79,8,1,0.125,12.50%,0.0483,A0.DCE
NORMAL_SETUP,-0.005425640000000014,-0.54%,14825.0,-4301.86,10523.14,10,6,0.6,60.00%,3.4462,A0.DCE
ALL,-0.018556109999999987,-1.86%,22950.0,-41506.11,-18556.11,30,9,0.3,30.00%,0.5529,PB0.SHFE
GOOD_SETUP,-0.018556109999999987,-1.86%,17730.0,-24411.43,-6681.43,12,4,0.3333333333333333,33.33%,0.7263,PB0.SHFE
NORMAL_SETUP,-0.018556109999999987,-1.86%,5220.0,-17094.68,-11874.68,18,5,0.2777777777777778,27.78%,0.3054,PB0.SHFE
ALL,-0.005812859999999986,-0.58%,2450.0,-8262.86,-5812.86,7,2,0.2857142857142857,28.57%,0.2965,BC0.INE
GOOD_SETUP,-0.005812859999999986,-0.58%,0.0,-3562.86,-3562.86,1,0,0.0,0.00%,0.0,BC0.INE
NORMAL_SETUP,-0.005812859999999986,-0.58%,2450.0,-4700.0,-2250.0,6,2,0.3333333333333333,33.33%,0.5213,BC0.INE
ALL,-0.008039859999999985,-0.80%,33481.0,-41520.86,-8039.86,35,9,0.2571428571428571,25.71%,0.8064,OI0.CZCE
GOOD_SETUP,-0.008039859999999985,-0.80%,24593.0,-9234.46,15358.54,7,3,0.42857142857142855,42.86%,2.6632,OI0.CZCE
NORMAL_SETUP,-0.008039859999999985,-0.80%,8888.0,-32286.39,-23398.39,28,6,0.21428571428571427,21.43%,0.2753,OI0.CZCE
ALL,0.001422,0.14%,2322.0,-900.0,1422.0,5,4,0.8,80.00%,2.58,PK0.CZCE
GOOD_SETUP,0.001422,0.14%,0.0,-900.0,-900.0,1,0,0.0,0.00%,0.0,PK0.CZCE
NORMAL_SETUP,0.001422,0.14%,2322.0,0.0,2322.0,4,4,1.0,100.00%,inf,PK0.CZCE
