symbol,exchange,vt_symbol,setup_type,entry_date,exit_date,entry_price,exit_price,quantity,turnover_entry,turnover_exit,pnl,return_pct,holding_days,entry_reason,exit_reason,initial_stop,final_stop,highest_since_entry,risk_per_unit,risk_budget,r_multiple,return_pct_str
RR0,DCE,RR0.DCE,GOOD_SETUP,2020-03-31,2020-04-01,3670.0,3571.04,50,183500.0,178551.79,-4948.21,-0.026965745426235907,2,good_breakout_with_volume_expansion,intraday_stop,3571.04,3571.04,3682.0,98.96,5000.0,-1.0,-2.70%
RR0,DCE,RR0.DCE,NORMAL_SETUP,2021-03-22,2021-03-22,3675.0,3646.1,86,316050.0,313564.6,-2485.4,-0.007863945578231318,1,normal_breakout_with_volume_expansion,same_day_initial_stop,3646.1,3646.1,3682.0,28.9,2487.63,-1.0,-0.79%
RR0,DCE,RR0.DCE,NORMAL_SETUP,2022-08-19,2022-08-23,3442.0,3440.0,75,258150.0,258000.0,-150.0,-0.0005810575246949448,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,3408.96,3408.96,3474.0,33.04,2481.42,-0.06,-0.06%
RR0,DCE,RR0.DCE,NORMAL_SETUP,2023-04-17,2023-04-17,3444.0,3427.67,151,520044.0,517578.39,-2465.61,-0.004741164758586425,1,normal_breakout_with_volume_expansion,same_day_initial_stop,3427.67,3427.67,3453.0,16.33,2481.04,-1.0,-0.47%
RR0,DCE,RR0.DCE,GOOD_SETUP,2023-05-24,2023-05-26,3457.0,3470.0,177,611889.0,614190.0,2301.0,0.0037604859704946487,3,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,3429.11,3457.0,3490.0,27.89,4949.75,0.47,0.38%
RR0,DCE,RR0.DCE,GOOD_SETUP,2023-05-30,2023-05-31,3489.0,3492.0,167,582663.0,583164.0,501.0,0.0008598452278589854,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,3459.46,3459.46,3509.0,29.54,4961.26,0.1,0.09%
RR0,DCE,RR0.DCE,NORMAL_SETUP,2023-08-21,2023-08-23,3585.0,3602.0,69,247365.0,248538.0,1173.0,0.004741980474198048,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,3549.11,3549.11,3617.0,35.89,2481.88,0.47,0.47%
RR0,DCE,RR0.DCE,NORMAL_SETUP,2023-08-31,2023-09-06,3670.0,3628.84,60,220200.0,217730.57,-2469.43,-0.011214480342545734,5,normal_breakout_with_volume_expansion,intraday_stop,3628.84,3628.84,3682.0,41.16,2484.81,-1.0,-1.12%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2015-01-19,2015-01-21,253.8,260.55,1579,400750.2,411408.45,10658.25,0.026595744680851064,3,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,250.63,253.8,259.0,3.17,5000.0,2.13,2.66%
AU0,SHFE,AU0.SHFE,NORMAL_SETUP,2015-01-22,2015-01-22,262.15,258.75,743,194777.45,192252.58,-2524.87,-0.012962862047355672,1,normal_breakout_with_volume_expansion,same_day_initial_stop,258.75,258.75,263.2,3.4,2526.65,-1.0,-1.30%
