datetime,symbol,exchange,vt_symbol,close,position,setup_type,entry_price,stop_price,highest_since_entry,realized_pnl,unrealized_pnl,equity,month_return,month_return_pct,month_stop_trading,daily_return,daily_return_pct
2014-04-09,AL0,SHFE,AL0.SHFE,13180.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-10,AL0,SHFE,AL0.SHFE,13200.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-11,AL0,SHFE,AL0.SHFE,13215.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-14,AL0,SHFE,AL0.SHFE,13245.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-15,AL0,SHFE,AL0.SHFE,13180.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-16,AL0,SHFE,AL0.SHFE,13230.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-17,AL0,SHFE,AL0.SHFE,13205.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-18,AL0,SHFE,AL0.SHFE,13210.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-21,AL0,SHFE,AL0.SHFE,13205.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-22,AL0,SHFE,AL0.SHFE,13335.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-23,AL0,SHFE,AL0.SHFE,13550.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-24,AL0,SHFE,AL0.SHFE,13615.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-25,AL0,SHFE,AL0.SHFE,13540.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-28,AL0,SHFE,AL0.SHFE,13495.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-29,AL0,SHFE,AL0.SHFE,13395.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-30,AL0,SHFE,AL0.SHFE,13330.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
