month,equity_first,equity_last,monthly_return,monthly_return_pct,trade_count,win_count,gross_profit,gross_loss,profit_factor,win_rate,win_rate_pct,setup_group,group_name
2014-04,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2014-05,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2014-06,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2014-07,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2014-08,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2014-09,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2014-10,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2014-11,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2014-12,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2015-01,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2015-02,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2015-03,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2015-04,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2015-05,1000000.0,995106.29,-0.00489370999999994,-0.49%,1,0,0.0,-4893.71,0.0,0.0,0.00%,ALL,AL0.SHFE
2015-06,995106.29,995106.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2015-07,995106.29,995106.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2015-08,995106.29,995106.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2015-09,995106.29,995106.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2015-10,995106.29,995106.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2015-11,995106.29,995106.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2015-12,995106.29,995106.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2016-01,995106.29,995106.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2016-02,995106.29,995706.29,0.0006029506657021511,0.06%,1,1,600.0,0.0,inf,1.0,100.00%,ALL,AL0.SHFE
2016-03,995706.29,995706.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2016-04,995706.29,995146.29,-0.000562414846249526,-0.06%,1,0,0.0,-560.0,0.0,0.0,0.00%,ALL,AL0.SHFE
2016-05,995146.29,995146.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2016-06,995146.29,995146.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2016-07,995146.29,995146.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2016-08,995146.29,995146.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2016-09,995146.29,995146.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2016-10,995146.29,995146.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2016-11,995146.29,995146.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2016-12,995146.29,995146.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2017-01,995146.29,992742.79,-0.0024152227910129165,-0.24%,1,0,0.0,-2403.5,0.0,0.0,0.00%,ALL,AL0.SHFE
2017-02,992742.79,991662.79,-0.0010878950830758294,-0.11%,1,0,0.0,-1080.0,0.0,0.0,0.00%,ALL,AL0.SHFE
2017-03,991662.79,991662.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2017-04,991662.79,991662.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2017-05,991662.79,991662.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2017-06,991662.79,991662.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2017-07,991662.79,990762.79,-0.0009075665731089755,-0.09%,1,0,0.0,-900.0,0.0,0.0,0.00%,ALL,AL0.SHFE
2017-08,990762.79,994200.79,0.003470053613943147,0.35%,2,1,5820.0,-2382.0,2.4433,0.5,50.00%,ALL,AL0.SHFE
2017-09,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2017-10,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2017-11,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2017-12,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2018-01,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2018-02,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2018-03,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2018-04,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2018-05,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2018-06,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2018-07,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2018-08,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2018-09,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2018-10,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2018-11,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2018-12,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2019-01,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2019-02,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2019-03,994200.79,994200.79,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2019-04,994200.79,995507.36,0.0013141912711616133,0.13%,2,1,3800.0,-2493.43,1.524,0.5,50.00%,ALL,AL0.SHFE
2019-05,995507.36,995507.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2019-06,995507.36,995507.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2019-07,995507.36,995507.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2019-08,995507.36,994337.36,-0.0011752801104353283,-0.12%,1,0,0.0,-1170.0,0.0,0.0,0.00%,ALL,AL0.SHFE
2019-09,994337.36,994337.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2019-10,994337.36,994337.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2019-11,994337.36,994337.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2019-12,994337.36,996037.36,0.0017096813097718933,0.17%,1,1,1700.0,0.0,inf,1.0,100.00%,ALL,AL0.SHFE
2020-01,996037.36,996037.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2020-02,996037.36,996037.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2020-03,996037.36,996037.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2020-04,996037.36,996037.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2020-05,996037.36,996037.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2020-06,996037.36,996037.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2020-07,996037.36,993587.36,-0.0024597470922175235,-0.25%,1,0,0.0,-2450.0,0.0,0.0,0.00%,ALL,AL0.SHFE
2020-08,993587.36,993587.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2020-09,993587.36,993587.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2020-10,993587.36,993587.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2020-11,993587.36,992194.64,-0.0014017086529763967,-0.14%,3,1,1100.0,-2492.71,0.4413,0.3333333333333333,33.33%,ALL,AL0.SHFE
2020-12,992744.64,991066.07,-0.001690837635748954,-0.17%,1,0,0.0,-1128.57,0.0,0.0,0.00%,ALL,AL0.SHFE
2021-01,991066.07,991066.07,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2021-02,991066.07,991186.07,0.00012108173575153813,0.01%,0,0,0.0,0.0,,,,ALL,AL0.SHFE
2021-03,990066.07,990066.07,0.0,0.00%,1,0,0.0,-1000.0,0.0,0.0,0.00%,ALL,AL0.SHFE
