symbol,exchange,vt_symbol,setup_type,entry_date,exit_date,entry_price,exit_price,quantity,turnover_entry,turnover_exit,pnl,return_pct,holding_days,entry_reason,exit_reason,initial_stop,final_stop,highest_since_entry,risk_per_unit,risk_budget,r_multiple,return_pct_str
AL0,SHFE,AL0.SHFE,GOOD_SETUP,2015-05-07,2015-05-12,13540.0,13387.07,32,433280.0,428386.29,-4893.71,-0.011294576914960905,4,good_breakout_with_volume_expansion,intraday_stop,13387.07,13387.07,13555.0,152.93,5000.0,-1.0,-1.13%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2016-02-23,2016-02-26,11240.0,11290.0,12,134880.0,135480.0,600.0,0.004448398576512456,4,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,11039.32,11039.32,11325.0,200.68,2487.77,0.25,0.44%
AL0,SHFE,AL0.SHFE,GOOD_SETUP,2016-04-25,2016-04-27,12850.0,12810.0,14,179900.0,179340.0,-560.0,-0.0031128404669260703,3,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,12512.5,12512.5,13075.0,337.5,4978.53,-0.12,-0.31%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2017-01-26,2017-01-26,13965.0,13793.32,14,195510.0,193106.5,-2403.5,-0.012293488824101013,1,normal_breakout_with_volume_expansion,same_day_initial_stop,13793.32,13793.32,14015.0,171.68,2487.87,-1.0,-1.23%
AL0,SHFE,AL0.SHFE,GOOD_SETUP,2017-02-15,2017-02-16,14390.0,14300.0,12,172680.0,171600.0,-1080.0,-0.006254343293954135,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,13980.79,13980.79,14500.0,409.21,4963.71,-0.22,-0.63%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2017-07-26,2017-07-27,14565.0,14490.0,12,174780.0,173880.0,-900.0,-0.005149330587023687,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,14374.04,14374.04,14645.0,190.96,2479.16,-0.39,-0.51%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2017-08-08,2017-08-11,15195.0,16165.0,6,91170.0,96990.0,5820.0,0.06383678841724251,4,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,14795.0,15602.86,16460.0,400.0,2476.91,2.42,6.38%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2017-08-18,2017-08-18,16400.0,16102.25,8,131200.0,128818.0,-2382.0,-0.018155487804878048,1,normal_breakout_with_volume_expansion,same_day_initial_stop,16102.25,16102.25,16440.0,297.75,2491.46,-1.0,-1.82%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2019-04-18,2019-04-23,14000.0,14200.0,19,266000.0,269800.0,3800.0,0.014285714285714285,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,13871.04,13896.43,14110.0,128.96,2485.5,1.55,1.43%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2019-04-26,2019-04-29,14225.0,14121.11,24,341400.0,338906.57,-2493.43,-0.007303540045192048,2,normal_breakout_with_volume_expansion,intraday_stop,14121.11,14121.11,14250.0,103.89,2495.0,-1.0,-0.73%
AL0,SHFE,AL0.SHFE,GOOD_SETUP,2019-08-20,2019-08-21,14380.0,14335.0,26,373880.0,372710.0,-1170.0,-0.003129346314325452,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,14194.11,14194.11,14455.0,185.89,4977.54,-0.24,-0.31%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2019-12-19,2019-12-23,14100.0,14200.0,17,239700.0,241400.0,1700.0,0.0070921985815602835,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,13959.07,14100.0,14245.0,140.93,2485.84,0.71,0.71%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2020-07-14,2020-07-15,14675.0,14430.0,10,146750.0,144300.0,-2450.0,-0.016695059625212946,2,normal_breakout_with_volume_expansion,intraday_stop,14430.0,14430.0,14735.0,245.0,2490.09,-1.0,-1.67%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2020-11-16,2020-11-17,15530.0,15311.57,11,170830.0,168427.29,-2402.71,-0.014064943427467525,2,normal_breakout_with_volume_expansion,intraday_stop,15311.57,15311.57,15585.0,218.43,2483.97,-1.0,-1.41%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2020-11-19,2020-11-20,15785.0,15770.0,6,94710.0,94620.0,-90.0,-0.0009502692429521698,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,15414.82,15414.82,15945.0,370.18,2477.96,-0.04,-0.10%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2020-11-26,2020-11-30,16025.0,16135.0,10,160250.0,161350.0,1100.0,0.006864274570982839,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,15785.64,15785.64,16160.0,239.36,2477.74,0.46,0.69%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2020-12-01,2020-12-03,16505.0,16279.29,5,82525.0,81396.43,-1128.57,-0.01367550958583982,3,normal_breakout_with_volume_expansion,intraday_stop,16068.21,16279.29,16925.0,436.79,2480.49,-0.52,-1.37%
AL0,SHFE,AL0.SHFE,GOOD_SETUP,2021-02-26,2021-03-01,17450.0,17325.0,8,139600.0,138600.0,-1000.0,-0.0071633237822349575,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,16884.29,16884.29,17695.0,565.71,4955.33,-0.22,-0.72%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2021-04-28,2021-04-28,18505.0,18356.86,16,296080.0,293709.71,-2370.29,-0.008005558343304983,1,normal_breakout_with_volume_expansion,same_day_initial_stop,18356.86,18356.86,18530.0,148.14,2475.17,-1.0,-0.80%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2021-04-30,2021-05-06,18835.0,19080.0,5,94175.0,95400.0,1225.0,0.013007698433766923,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,18412.89,18412.89,19015.0,422.11,2469.24,0.58,1.30%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2021-05-10,2021-05-11,19800.0,19800.0,5,99000.0,99000.0,0.0,0.0,2,normal_breakout_with_volume_expansion,intraday_stop,19347.43,19800.0,20445.0,452.57,2472.3,0.0,0.00%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2021-07-06,2021-07-07,19285.0,18831.18,5,96425.0,94155.89,-2269.11,-0.023532353050112913,2,normal_breakout_with_volume_expansion,intraday_stop,18831.18,18831.18,19285.0,453.82,2472.3,-1.0,-2.35%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2021-08-02,2021-08-04,20150.0,19675.93,5,100750.0,98379.64,-2370.36,-0.023527118043247024,3,normal_breakout_with_volume_expansion,intraday_stop,19675.93,19675.93,20190.0,474.07,2466.63,-1.0,-2.35%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2021-09-10,2021-09-14,22400.0,22613.57,4,89600.0,90454.29,854.29,0.009534438775510157,3,normal_breakout_with_volume_expansion,intraday_stop,21907.86,22613.57,23895.0,492.14,2460.7,0.43,0.95%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2021-10-19,2021-10-20,24680.0,23739.86,2,49360.0,47479.71,-1880.29,-0.038093308636258455,2,normal_breakout_with_volume_expansion,intraday_stop,23739.86,23739.86,24680.0,940.14,2462.84,-1.0,-3.81%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2022-02-11,2022-02-11,23300.0,22875.64,5,116500.0,114378.21,-2121.79,-0.01821275291232366,1,normal_breakout_with_volume_expansion,same_day_initial_stop,22875.64,22875.64,23365.0,424.36,2458.14,-1.0,-1.82%
AL0,SHFE,AL0.SHFE,GOOD_SETUP,2022-03-04,2022-03-08,23810.0,23037.86,6,142860.0,138227.14,-4632.86,-0.032429351412971805,3,good_breakout_with_volume_expansion,intraday_stop,23037.86,23037.86,24255.0,772.14,4905.67,-1.0,-3.24%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2023-04-21,2023-04-21,19180.0,18955.54,10,191800.0,189555.36,-2244.64,-0.011703038879785518,1,normal_breakout_with_volume_expansion,same_day_initial_stop,18955.54,18955.54,19270.0,224.46,2441.25,-1.0,-1.17%
AL0,SHFE,AL0.SHFE,NORMAL_SETUP,2023-09-01,2023-09-04,18975.0,18975.0,14,265650.0,265650.0,0.0,0.0,2,normal_breakout_with_volume_expansion,intraday_stop,18811.18,18975.0,19585.0,163.82,2435.64,0.0,0.00%
