datetime,symbol,exchange,vt_symbol,close,position,setup_type,entry_price,stop_price,highest_since_entry,realized_pnl,unrealized_pnl,equity,month_return,month_return_pct,month_stop_trading,daily_return,daily_return_pct
2014-04-09,AU0,SHFE,AU0.SHFE,262.45,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-10,AU0,SHFE,AU0.SHFE,263.4,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-11,AU0,SHFE,AU0.SHFE,263.1,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-14,AU0,SHFE,AU0.SHFE,264.7,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-15,AU0,SHFE,AU0.SHFE,259.85,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-16,AU0,SHFE,AU0.SHFE,259.5,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-17,AU0,SHFE,AU0.SHFE,257.65,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-18,AU0,SHFE,AU0.SHFE,258.25,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-21,AU0,SHFE,AU0.SHFE,256.6,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-22,AU0,SHFE,AU0.SHFE,256.55,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-23,AU0,SHFE,AU0.SHFE,256.75,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-24,AU0,SHFE,AU0.SHFE,259.25,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-25,AU0,SHFE,AU0.SHFE,261.3,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-28,AU0,SHFE,AU0.SHFE,261.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-29,AU0,SHFE,AU0.SHFE,260.55,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-30,AU0,SHFE,AU0.SHFE,260.35,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-05,AU0,SHFE,AU0.SHFE,264.75,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-06,AU0,SHFE,AU0.SHFE,264.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-07,AU0,SHFE,AU0.SHFE,260.65,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-08,AU0,SHFE,AU0.SHFE,259.9,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-09,AU0,SHFE,AU0.SHFE,259.3,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-12,AU0,SHFE,AU0.SHFE,261.2,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-13,AU0,SHFE,AU0.SHFE,260.7,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-14,AU0,SHFE,AU0.SHFE,262.3,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-15,AU0,SHFE,AU0.SHFE,260.65,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-16,AU0,SHFE,AU0.SHFE,260.25,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-19,AU0,SHFE,AU0.SHFE,260.65,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-20,AU0,SHFE,AU0.SHFE,260.95,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-21,AU0,SHFE,AU0.SHFE,260.15,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-22,AU0,SHFE,AU0.SHFE,260.8,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-23,AU0,SHFE,AU0.SHFE,260.65,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-26,AU0,SHFE,AU0.SHFE,260.35,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-27,AU0,SHFE,AU0.SHFE,255.6,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-28,AU0,SHFE,AU0.SHFE,254.35,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-29,AU0,SHFE,AU0.SHFE,253.1,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-30,AU0,SHFE,AU0.SHFE,253.3,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-03,AU0,SHFE,AU0.SHFE,250.95,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-04,AU0,SHFE,AU0.SHFE,251.1,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-05,AU0,SHFE,AU0.SHFE,253.35,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-06,AU0,SHFE,AU0.SHFE,252.8,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-09,AU0,SHFE,AU0.SHFE,252.8,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-10,AU0,SHFE,AU0.SHFE,252.6,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-11,AU0,SHFE,AU0.SHFE,254.2,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-12,AU0,SHFE,AU0.SHFE,253.7,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-13,AU0,SHFE,AU0.SHFE,255.75,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-16,AU0,SHFE,AU0.SHFE,257.9,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-17,AU0,SHFE,AU0.SHFE,254.65,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-18,AU0,SHFE,AU0.SHFE,255.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-19,AU0,SHFE,AU0.SHFE,257.85,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-20,AU0,SHFE,AU0.SHFE,264.55,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
