symbol,exchange,vt_symbol,setup_type,entry_date,exit_date,entry_price,exit_price,quantity,turnover_entry,turnover_exit,pnl,return_pct,holding_days,entry_reason,exit_reason,initial_stop,final_stop,highest_since_entry,risk_per_unit,risk_budget,r_multiple,return_pct_str
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2015-01-19,2015-01-21,253.8,260.55,1579,400750.2,411408.45,10658.25,0.026595744680851064,3,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,250.63,253.8,259.0,3.17,5000.0,2.13,2.66%
AU0,SHFE,AU0.SHFE,NORMAL_SETUP,2015-01-22,2015-01-22,262.15,258.75,743,194777.45,192252.58,-2524.87,-0.012962862047355672,1,normal_breakout_with_volume_expansion,same_day_initial_stop,258.75,258.75,263.2,3.4,2526.65,-1.0,-1.30%
AU0,SHFE,AU0.SHFE,NORMAL_SETUP,2015-10-15,2015-10-19,240.2,242.0,702,168620.4,169884.0,1263.6,0.0074937552039967175,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,236.61,236.61,243.1,3.59,2520.33,0.5,0.75%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2016-03-07,2016-03-08,265.95,267.25,1061,282172.95,283552.25,1379.3,0.004888136867832342,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,261.2,261.2,268.7,4.75,5046.98,0.27,0.49%
AU0,SHFE,AU0.SHFE,NORMAL_SETUP,2016-04-22,2016-04-25,265.7,259.64,417,110796.9,108271.96,-2524.94,-0.02278885961610842,2,normal_breakout_with_volume_expansion,intraday_stop,259.64,259.64,266.5,6.06,2526.94,-1.0,-2.28%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2016-06-17,2016-06-17,279.95,274.44,915,256154.25,251115.21,-5039.04,-0.01967188018268572,1,good_breakout_with_volume_expansion,same_day_initial_stop,274.44,274.44,281.15,5.51,5041.26,-1.0,-1.97%
AU0,SHFE,AU0.SHFE,NORMAL_SETUP,2016-06-28,2016-07-06,285.1,291.75,476,135707.6,138873.0,3165.4,0.023325149070501497,7,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,279.84,285.1,293.7,5.26,2508.03,1.26,2.33%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2016-07-07,2016-07-13,296.95,289.22,651,193314.45,188282.92,-5031.53,-0.026027710292738114,5,good_breakout_with_volume_expansion,intraday_stop,289.22,289.22,297.4,7.73,5031.89,-1.0,-2.60%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2017-02-27,2017-03-02,282.2,278.16,1237,349081.4,344078.18,-5003.22,-0.014332540245013783,4,good_breakout_with_volume_expansion,intraday_stop,278.16,278.16,283.35,4.04,5006.73,-1.0,-1.43%
AU0,SHFE,AU0.SHFE,NORMAL_SETUP,2017-04-14,2017-04-18,287.55,286.9,915,263108.25,262513.5,-594.75,-0.002260476438880313,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,284.83,284.83,290.05,2.72,2490.86,-0.24,-0.23%
AU0,SHFE,AU0.SHFE,NORMAL_SETUP,2017-08-30,2017-08-31,283.8,280.15,681,193267.8,190779.72,-2488.08,-0.012873754152823857,2,normal_breakout_with_volume_expansion,intraday_stop,280.15,280.15,284.3,3.65,2489.37,-1.0,-1.29%
AU0,SHFE,AU0.SHFE,NORMAL_SETUP,2018-01-16,2018-01-18,282.25,279.89,1053,297209.25,294726.43,-2482.82,-0.008353789700113879,3,normal_breakout_with_volume_expansion,intraday_stop,279.89,279.89,282.35,2.36,2483.15,-1.0,-0.84%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2018-10-16,2018-10-25,276.0,276.8,1626,448776.0,450076.8,1300.8,0.0028985507246377224,8,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,272.95,276.0,279.3,3.05,4953.89,0.26,0.29%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2018-12-11,2018-12-13,282.65,280.8,2676,756371.4,751411.24,-4960.16,-0.006557832756311337,3,good_breakout_with_volume_expansion,intraday_stop,280.8,280.8,283.1,1.85,4960.39,-1.0,-0.66%
AU0,SHFE,AU0.SHFE,NORMAL_SETUP,2019-01-04,2019-01-07,289.95,290.0,1151,333732.45,333790.0,57.55,0.00017244352474568502,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,287.81,287.81,291.6,2.14,2467.79,0.02,0.02%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2019-06-04,2019-06-10,297.7,302.55,1224,364384.8,370321.2,5936.4,0.016291568693315495,4,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,293.67,297.7,303.7,4.03,4935.88,1.2,1.63%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2019-06-17,2019-06-17,306.3,303.53,1795,549808.5,544843.4,-4965.1,-0.009030595587892334,1,good_breakout_with_volume_expansion,same_day_initial_stop,303.53,303.53,307.55,2.77,4965.56,-1.0,-0.90%
AU0,SHFE,AU0.SHFE,NORMAL_SETUP,2019-06-21,2019-06-24,310.95,314.45,435,135263.25,136785.75,1522.5,0.011255828911400548,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,305.28,305.28,316.5,5.67,2470.37,0.62,1.13%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2019-06-26,2019-06-27,320.95,317.0,866,277942.7,274522.0,-3420.7,-0.012307212961520451,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,315.24,315.24,323.25,5.71,4948.35,-0.69,-1.23%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2019-08-08,2019-08-12,344.6,345.6,516,177813.6,178329.6,516.0,0.002901915264074289,3,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,335.04,335.6,349.5,9.56,4931.24,0.1,0.29%
AU0,SHFE,AU0.SHFE,NORMAL_SETUP,2019-08-14,2019-08-14,351.55,345.54,410,144135.5,141672.28,-2463.22,-0.01708962350407373,1,normal_breakout_with_volume_expansion,same_day_initial_stop,345.54,345.54,352.0,6.01,2466.91,-1.0,-1.71%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2019-08-27,2019-08-28,355.7,357.7,779,277090.3,278648.3,1558.0,0.0056227157717177395,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,349.38,349.38,359.25,6.32,4921.51,0.32,0.56%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2020-05-11,2020-05-20,381.8,395.1,1484,566591.2,586328.4,19737.2,0.03483499214248301,8,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,378.48,392.45,402.3,3.32,4929.3,4.0,3.48%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2020-07-27,2020-07-29,422.4,428.78,671,283430.4,287711.38,4280.98,0.015104166666666656,3,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,414.92,422.4,440.08,7.48,5027.98,0.85,1.51%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2020-08-06,2020-08-11,444.02,446.88,438,194480.76,195733.44,1252.68,0.006441151299491045,4,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,432.5,433.25,454.08,11.52,5049.39,0.25,0.64%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2022-02-15,2022-02-17,381.94,379.5,865,330378.1,328267.5,-2110.6,-0.006388437974550971,3,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,376.1,377.89,385.92,5.84,5055.65,-0.42,-0.64%
AU0,SHFE,AU0.SHFE,NORMAL_SETUP,2022-03-08,2022-03-10,402.6,402.6,317,127624.2,127624.2,0.0,0.0,3,normal_breakout_with_volume_expansion,intraday_stop,394.66,402.6,420.74,7.94,2522.55,0.0,0.00%
AU0,SHFE,AU0.SHFE,NORMAL_SETUP,2023-01-05,2023-01-06,414.38,410.39,631,261473.78,258953.48,-2520.3,-0.009638840815538612,2,normal_breakout_with_volume_expansion,intraday_stop,410.39,410.39,415.92,3.99,2522.55,-1.0,-0.96%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2023-03-15,2023-03-20,426.38,435.18,1365,582008.7,594020.7,12012.0,0.020638866738590018,4,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,422.69,426.38,434.48,3.69,5032.5,2.39,2.06%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2023-03-21,2023-03-22,441.5,439.08,1630,719645.0,715700.4,-3944.6,-0.005481313703284294,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,438.38,438.38,444.22,3.12,5092.56,-0.77,-0.55%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2023-07-14,2023-07-21,455.6,459.94,1649,751284.4,758441.06,7156.66,0.009525899912203631,6,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,452.52,456.71,463.68,3.08,5072.83,1.41,0.95%
AU0,SHFE,AU0.SHFE,GOOD_SETUP,2023-09-15,2023-09-15,471.9,468.11,1346,635177.4,630071.25,-5106.15,-0.008038930766203427,1,good_breakout_with_volume_expansion,same_day_initial_stop,468.11,468.11,480.26,3.79,5108.62,-1.0,-0.80%
