datetime,symbol,exchange,vt_symbol,close,position,setup_type,entry_price,stop_price,highest_since_entry,realized_pnl,unrealized_pnl,equity,month_return,month_return_pct,month_stop_trading,daily_return,daily_return_pct
2021-02-24,BC0,INE,BC0.INE,60560.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2021-02-25,BC0,INE,BC0.INE,62730.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2021-02-26,BC0,INE,BC0.INE,60720.0,1,NORMAL_SETUP,62690.0,60609.64,62980.0,0.0,-1970.0,998030.0,-0.00197,-0.20%,0,-0.0019700000000000273,-0.20%
2021-03-01,BC0,INE,BC0.INE,60140.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,-0.0007214211997634834,-0.07%
2021-03-02,BC0,INE,BC0.INE,59530.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-03,BC0,INE,BC0.INE,60460.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-04,BC0,INE,BC0.INE,59240.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-05,BC0,INE,BC0.INE,58530.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-08,BC0,INE,BC0.INE,58470.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-09,BC0,INE,BC0.INE,58850.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-10,BC0,INE,BC0.INE,58090.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-11,BC0,INE,BC0.INE,59860.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-12,BC0,INE,BC0.INE,59510.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-15,BC0,INE,BC0.INE,60040.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-16,BC0,INE,BC0.INE,59380.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-17,BC0,INE,BC0.INE,59520.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-18,BC0,INE,BC0.INE,59500.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-19,BC0,INE,BC0.INE,58650.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-22,BC0,INE,BC0.INE,59410.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-23,BC0,INE,BC0.INE,59560.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-24,BC0,INE,BC0.INE,59030.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-25,BC0,INE,BC0.INE,58160.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-26,BC0,INE,BC0.INE,58710.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-29,BC0,INE,BC0.INE,58880.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-30,BC0,INE,BC0.INE,58450.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-03-31,BC0,INE,BC0.INE,58200.0,0,,,,,-2690.0,0.0,997310.0,-0.0007214211997635341,-0.07%,0,0.0,0.00%
2021-04-01,BC0,INE,BC0.INE,57690.0,0,,,,,-2690.0,0.0,997310.0,0.0,0.00%,0,0.0,0.00%
2021-04-02,BC0,INE,BC0.INE,59600.0,0,,,,,-2690.0,0.0,997310.0,0.0,0.00%,0,0.0,0.00%
2021-04-06,BC0,INE,BC0.INE,59500.0,0,,,,,-2690.0,0.0,997310.0,0.0,0.00%,0,0.0,0.00%
2021-04-07,BC0,INE,BC0.INE,59510.0,0,,,,,-2690.0,0.0,997310.0,0.0,0.00%,0,0.0,0.00%
2021-04-08,BC0,INE,BC0.INE,59490.0,0,,,,,-2690.0,0.0,997310.0,0.0,0.00%,0,0.0,0.00%
2021-04-09,BC0,INE,BC0.INE,59390.0,0,,,,,-2690.0,0.0,997310.0,0.0,0.00%,0,0.0,0.00%
2021-04-12,BC0,INE,BC0.INE,58440.0,0,,,,,-2690.0,0.0,997310.0,0.0,0.00%,0,0.0,0.00%
2021-04-13,BC0,INE,BC0.INE,58640.0,0,,,,,-2690.0,0.0,997310.0,0.0,0.00%,0,0.0,0.00%
2021-04-14,BC0,INE,BC0.INE,58990.0,0,,,,,-2690.0,0.0,997310.0,0.0,0.00%,0,0.0,0.00%
2021-04-15,BC0,INE,BC0.INE,60640.0,0,,,,,-2690.0,0.0,997310.0,0.0,0.00%,0,0.0,0.00%
2021-04-16,BC0,INE,BC0.INE,61080.0,0,,,,,-2690.0,0.0,997310.0,0.0,0.00%,0,0.0,0.00%
2021-04-19,BC0,INE,BC0.INE,62090.0,0,,,,,-2690.0,0.0,997310.0,0.0,0.00%,0,0.0,0.00%
2021-04-20,BC0,INE,BC0.INE,61820.0,1,NORMAL_SETUP,62090.0,60489.29,62150.0,-2690.0,-270.0,997040.0,-0.00027072825901675507,-0.03%,0,-0.00027072825901675035,-0.03%
2021-04-21,BC0,INE,BC0.INE,61170.0,1,NORMAL_SETUP,62090.0,60489.29,62150.0,-2690.0,-920.0,996390.0,-0.0009224814751682025,-0.09%,0,-0.0006519297119473855,-0.07%
2021-04-22,BC0,INE,BC0.INE,61570.0,1,NORMAL_SETUP,62090.0,60489.29,62150.0,-2690.0,-520.0,996790.0,-0.0005214025729211579,-0.05%,0,0.00040144923172658054,0.04%
2021-04-23,BC0,INE,BC0.INE,61890.0,1,NORMAL_SETUP,62090.0,60489.29,62160.0,-2690.0,-200.0,997110.0,-0.00020053945112352229,-0.02%,0,0.00032103050793041987,0.03%
2021-04-26,BC0,INE,BC0.INE,63290.0,1,NORMAL_SETUP,62090.0,62090.0,64730.0,-2690.0,1200.0,998510.0,0.0012032367067411336,0.12%,0,0.0014040577268306098,0.14%
2021-04-27,BC0,INE,BC0.INE,64600.0,1,NORMAL_SETUP,62090.0,62242.86,64960.0,-2690.0,2510.0,999820.0,0.0025167701116002045,0.25%,0,0.0013119548126709901,0.13%
2021-04-28,BC0,INE,BC0.INE,63630.0,0,,,,,-300.0,0.0,999700.0,0.002396446440926091,0.24%,0,-0.00012002160388868699,-0.01%
2021-04-29,BC0,INE,BC0.INE,64620.0,0,,,,,-300.0,0.0,999700.0,0.002396446440926091,0.24%,0,0.0,0.00%
2021-04-30,BC0,INE,BC0.INE,64160.0,0,,,,,-300.0,0.0,999700.0,0.002396446440926091,0.24%,0,0.0,0.00%
2021-05-06,BC0,INE,BC0.INE,65310.0,0,,,,,-300.0,0.0,999700.0,0.0,0.00%,0,0.0,0.00%
2021-05-07,BC0,INE,BC0.INE,66720.0,0,,,,,-300.0,0.0,999700.0,0.0,0.00%,0,0.0,0.00%
2021-05-10,BC0,INE,BC0.INE,69400.0,0,,,,,-300.0,0.0,999700.0,0.0,0.00%,0,0.0,0.00%
2021-05-11,BC0,INE,BC0.INE,67800.0,0,,,,,-3862.86,0.0,996137.14,-0.0035639263207533855,-0.36%,0,-0.0035639291787535887,-0.36%
2021-05-12,BC0,INE,BC0.INE,68810.0,0,,,,,-3862.86,0.0,996137.14,-0.0035639263207533855,-0.36%,0,0.0,0.00%
2021-05-13,BC0,INE,BC0.INE,67900.0,0,,,,,-3862.86,0.0,996137.14,-0.0035639263207533855,-0.36%,0,0.0,0.00%
2021-05-14,BC0,INE,BC0.INE,66560.0,0,,,,,-3862.86,0.0,996137.14,-0.0035639263207533855,-0.36%,0,0.0,0.00%
2021-05-17,BC0,INE,BC0.INE,66810.0,0,,,,,-3862.86,0.0,996137.14,-0.0035639263207533855,-0.36%,0,0.0,0.00%
2021-05-18,BC0,INE,BC0.INE,67990.0,0,,,,,-3862.86,0.0,996137.14,-0.0035639263207533855,-0.36%,0,0.0,0.00%
2021-05-19,BC0,INE,BC0.INE,66220.0,0,,,,,-3862.86,0.0,996137.14,-0.0035639263207533855,-0.36%,0,0.0,0.00%
2021-05-20,BC0,INE,BC0.INE,65630.0,0,,,,,-3862.86,0.0,996137.14,-0.0035639263207533855,-0.36%,0,0.0,0.00%
2021-05-21,BC0,INE,BC0.INE,64190.0,0,,,,,-3862.86,0.0,996137.14,-0.0035639263207533855,-0.36%,0,0.0,0.00%
2021-05-24,BC0,INE,BC0.INE,63720.0,0,,,,,-3862.86,0.0,996137.14,-0.0035639263207533855,-0.36%,0,0.0,0.00%
2021-05-25,BC0,INE,BC0.INE,64350.0,0,,,,,-3862.86,0.0,996137.14,-0.0035639263207533855,-0.36%,0,0.0,0.00%
2021-05-26,BC0,INE,BC0.INE,63940.0,0,,,,,-3862.86,0.0,996137.14,-0.0035639263207533855,-0.36%,0,0.0,0.00%
2021-05-27,BC0,INE,BC0.INE,64040.0,0,,,,,-3862.86,0.0,996137.14,-0.0035639263207533855,-0.36%,0,0.0,0.00%
2021-05-28,BC0,INE,BC0.INE,65310.0,0,,,,,-3862.86,0.0,996137.14,-0.0035639263207533855,-0.36%,0,0.0,0.00%
2021-05-31,BC0,INE,BC0.INE,65830.0,0,,,,,-3862.86,0.0,996137.14,-0.0035639263207533855,-0.36%,0,0.0,0.00%
2021-06-01,BC0,INE,BC0.INE,65980.0,0,,,,,-3862.86,0.0,996137.14,2.868222367998706e-09,0.00%,0,0.0,0.00%
2021-06-02,BC0,INE,BC0.INE,65530.0,0,,,,,-3862.86,0.0,996137.14,2.868222367998706e-09,0.00%,0,0.0,0.00%
2021-06-03,BC0,INE,BC0.INE,64960.0,0,,,,,-3862.86,0.0,996137.14,2.868222367998706e-09,0.00%,0,0.0,0.00%
2021-06-04,BC0,INE,BC0.INE,63180.0,0,,,,,-3862.86,0.0,996137.14,2.868222367998706e-09,0.00%,0,0.0,0.00%
2021-06-07,BC0,INE,BC0.INE,63630.0,0,,,,,-3862.86,0.0,996137.14,2.868222367998706e-09,0.00%,0,0.0,0.00%
2021-06-08,BC0,INE,BC0.INE,63690.0,0,,,,,-3862.86,0.0,996137.14,2.868222367998706e-09,0.00%,0,0.0,0.00%
2021-06-09,BC0,INE,BC0.INE,63880.0,0,,,,,-3862.86,0.0,996137.14,2.868222367998706e-09,0.00%,0,0.0,0.00%
2021-06-10,BC0,INE,BC0.INE,63630.0,0,,,,,-3862.86,0.0,996137.14,2.868222367998706e-09,0.00%,0,0.0,0.00%
2021-06-11,BC0,INE,BC0.INE,64000.0,0,,,,,-3862.86,0.0,996137.14,2.868222367998706e-09,0.00%,0,0.0,0.00%
2021-06-15,BC0,INE,BC0.INE,62610.0,0,,,,,-3862.86,0.0,996137.14,2.868222367998706e-09,0.00%,0,0.0,0.00%
2021-06-16,BC0,INE,BC0.INE,61010.0,0,,,,,-3862.86,0.0,996137.14,2.868222367998706e-09,0.00%,0,0.0,0.00%
2021-06-17,BC0,INE,BC0.INE,61320.0,0,,,,,-3862.86,0.0,996137.14,2.868222367998706e-09,0.00%,0,0.0,0.00%
2021-06-18,BC0,INE,BC0.INE,59910.0,0,,,,,-3862.86,0.0,996137.14,2.868222367998706e-09,0.00%,0,0.0,0.00%
2021-06-21,BC0,INE,BC0.INE,59070.0,0,,,,,-3862.86,0.0,996137.14,2.868222367998706e-09,0.00%,0,0.0,0.00%
2021-06-22,BC0,INE,BC0.INE,59940.0,0,,,,,-3862.86,0.0,996137.14,2.868222367998706e-09,0.00%,0,0.0,0.00%
