datetime,symbol,exchange,vt_symbol,close,position,setup_type,entry_price,stop_price,highest_since_entry,realized_pnl,unrealized_pnl,equity,month_return,month_return_pct,month_stop_trading,daily_return,daily_return_pct
2014-04-09,CU0,SHFE,CU0.SHFE,46300.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-10,CU0,SHFE,CU0.SHFE,46440.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-11,CU0,SHFE,CU0.SHFE,46580.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-14,CU0,SHFE,CU0.SHFE,46730.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-15,CU0,SHFE,CU0.SHFE,46150.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-16,CU0,SHFE,CU0.SHFE,46500.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-17,CU0,SHFE,CU0.SHFE,46600.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-18,CU0,SHFE,CU0.SHFE,46360.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-21,CU0,SHFE,CU0.SHFE,46640.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-22,CU0,SHFE,CU0.SHFE,46640.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-23,CU0,SHFE,CU0.SHFE,46760.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-24,CU0,SHFE,CU0.SHFE,47730.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-25,CU0,SHFE,CU0.SHFE,47910.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-28,CU0,SHFE,CU0.SHFE,47920.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-29,CU0,SHFE,CU0.SHFE,47630.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-30,CU0,SHFE,CU0.SHFE,47650.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-01,CU0,SHFE,CU0.SHFE,46800.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
