month,equity_first,equity_last,monthly_return,monthly_return_pct,trade_count,win_count,gross_profit,gross_loss,profit_factor,win_rate,win_rate_pct,setup_group,group_name
2014-04,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2014-05,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2014-06,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2014-07,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2014-08,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2014-09,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2014-10,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2014-11,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2014-12,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2015-01,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2015-02,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2015-03,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2015-04,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2015-05,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2015-06,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2015-07,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2015-08,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2015-09,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2015-10,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2015-11,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2015-12,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2016-01,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2016-02,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2016-03,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2016-04,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2016-05,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2016-06,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2016-07,1000000.0,995200.0,-0.0048000000000000265,-0.48%,1,0,0.0,-4800.0,0.0,0.0,0.00%,ALL,CU0.SHFE
2016-08,995200.0,995200.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2016-09,995200.0,995200.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2016-10,995200.0,993020.36,-0.002190152733118955,-0.22%,1,0,0.0,-2179.64,0.0,0.0,0.00%,ALL,CU0.SHFE
2016-11,993020.36,989945.36,-0.003096613245674007,-0.31%,2,1,880.0,-3955.0,0.2225,0.5,50.00%,ALL,CU0.SHFE
2016-12,989945.36,989945.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2017-01,989945.36,989945.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2017-02,989945.36,989945.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2017-03,989945.36,989945.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2017-04,989945.36,989945.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2017-05,989945.36,989945.36,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2017-06,989945.36,990035.36,9.091410863315552e-05,0.01%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2017-07,990185.36,989885.36,-0.0003029735765837094,-0.03%,2,1,240.0,-300.0,0.8,0.5,50.00%,ALL,CU0.SHFE
2017-08,989885.36,990740.0,0.0008633727040876504,0.09%,3,2,5070.0,-4215.36,1.2027,0.6666666666666666,66.67%,ALL,CU0.SHFE
2017-09,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2017-10,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2017-11,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2017-12,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2018-01,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2018-02,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2018-03,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2018-04,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2018-05,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2018-06,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2018-07,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2018-08,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2018-09,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2018-10,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2018-11,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2018-12,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2019-01,990740.0,990740.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2019-02,990740.0,988510.0,-0.0022508428043684914,-0.23%,1,0,0.0,-2230.0,0.0,0.0,0.00%,ALL,CU0.SHFE
2019-03,988510.0,988510.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2019-04,988510.0,988510.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2019-05,988510.0,988510.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2019-06,988510.0,988510.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2019-07,988510.0,988510.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2019-08,988510.0,988510.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2019-09,988510.0,988510.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2019-10,988510.0,988510.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2019-11,988510.0,988510.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2019-12,988510.0,990400.0,0.001911968518274909,0.19%,2,2,1890.0,0.0,inf,1.0,100.00%,ALL,CU0.SHFE
2020-01,990400.0,990400.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2020-02,990400.0,990400.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2020-03,990400.0,990400.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2020-04,990400.0,990400.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2020-05,990400.0,990400.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,CU0.SHFE
2020-06,990400.0,991650.0,0.0012621163166397498,0.13%,2,1,1720.0,-470.0,3.6596,0.5,50.00%,ALL,CU0.SHFE
