symbol,exchange,vt_symbol,setup_type,entry_date,exit_date,entry_price,exit_price,quantity,turnover_entry,turnover_exit,pnl,return_pct,holding_days,entry_reason,exit_reason,initial_stop,final_stop,highest_since_entry,risk_per_unit,risk_budget,r_multiple,return_pct_str
CU0,SHFE,CU0.SHFE,GOOD_SETUP,2016-07-05,2016-07-05,38440.0,37480.0,5,192200.0,187400.0,-4800.0,-0.02497398543184183,1,good_breakout_with_volume_expansion,same_day_initial_stop,37480.0,37480.0,38540.0,960.0,5000.0,-1.0,-2.50%
CU0,SHFE,CU0.SHFE,NORMAL_SETUP,2016-10-12,2016-10-13,38060.0,37624.07,5,190300.0,188120.36,-2179.64,-0.011453719690713939,2,normal_breakout_with_volume_expansion,intraday_stop,37624.07,37624.07,38150.0,435.93,2488.0,-1.0,-1.15%
CU0,SHFE,CU0.SHFE,NORMAL_SETUP,2016-11-08,2016-11-09,40180.0,40400.0,4,160720.0,161600.0,880.0,0.0054753608760577405,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,39567.86,39567.86,40730.0,612.14,2482.55,0.36,0.55%
CU0,SHFE,CU0.SHFE,GOOD_SETUP,2016-11-14,2016-11-14,47200.0,45222.5,2,94400.0,90445.0,-3955.0,-0.04189618644067797,1,good_breakout_with_volume_expansion,same_day_initial_stop,45222.5,45222.5,48040.0,1977.5,4969.5,-1.0,-4.19%
CU0,SHFE,CU0.SHFE,NORMAL_SETUP,2017-06-30,2017-07-03,47430.0,47510.0,3,142290.0,142530.0,240.0,0.001686696183849884,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,46716.14,46716.14,47670.0,713.86,2474.86,0.11,0.17%
CU0,SHFE,CU0.SHFE,GOOD_SETUP,2017-07-18,2017-07-25,47950.0,47890.0,5,239750.0,239450.0,-300.0,-0.001251303441084463,6,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,47069.93,47120.0,48220.0,880.07,4950.93,-0.07,-0.13%
CU0,SHFE,CU0.SHFE,GOOD_SETUP,2017-08-10,2017-08-11,51210.0,50366.93,5,256050.0,251834.64,-4215.36,-0.0164630234050269,2,good_breakout_with_volume_expansion,intraday_stop,50366.93,50366.93,51370.0,843.07,4949.43,-1.0,-1.65%
CU0,SHFE,CU0.SHFE,GOOD_SETUP,2017-08-18,2017-08-22,51090.0,51640.0,7,357630.0,361480.0,3850.0,0.010765316108827559,3,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,50454.29,51090.0,51920.0,635.71,4928.35,0.87,1.08%
CU0,SHFE,CU0.SHFE,NORMAL_SETUP,2017-08-23,2017-08-30,52270.0,52880.0,2,104540.0,105760.0,1220.0,0.011670174096039793,6,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,51287.14,51300.0,53050.0,982.86,2473.8,0.62,1.17%
CU0,SHFE,CU0.SHFE,NORMAL_SETUP,2019-02-26,2019-02-26,50370.0,50051.43,7,352590.0,350360.0,-2230.0,-0.006324626336538168,1,normal_breakout_with_volume_expansion,same_day_initial_stop,50051.43,50051.43,50410.0,318.57,2476.85,-1.0,-0.63%
CU0,SHFE,CU0.SHFE,NORMAL_SETUP,2019-12-11,2019-12-13,48750.0,49000.0,5,243750.0,245000.0,1250.0,0.005128205128205128,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,48256.64,48750.0,49360.0,493.36,2471.28,0.51,0.51%
CU0,SHFE,CU0.SHFE,NORMAL_SETUP,2019-12-25,2019-12-27,49500.0,49660.0,4,198000.0,198640.0,640.0,0.0032323232323232323,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,48922.64,48922.64,49940.0,577.36,2474.4,0.28,0.32%
