datetime,symbol,exchange,vt_symbol,close,position,setup_type,entry_price,stop_price,highest_since_entry,realized_pnl,unrealized_pnl,equity,month_return,month_return_pct,month_stop_trading,daily_return,daily_return_pct
2014-04-14,OI0,CZCE,OI0.CZCE,7128.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-15,OI0,CZCE,OI0.CZCE,7106.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-16,OI0,CZCE,OI0.CZCE,7184.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-17,OI0,CZCE,OI0.CZCE,7206.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-18,OI0,CZCE,OI0.CZCE,7170.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-21,OI0,CZCE,OI0.CZCE,7132.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-22,OI0,CZCE,OI0.CZCE,7174.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-23,OI0,CZCE,OI0.CZCE,7140.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-24,OI0,CZCE,OI0.CZCE,7150.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-25,OI0,CZCE,OI0.CZCE,7188.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-28,OI0,CZCE,OI0.CZCE,7296.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-29,OI0,CZCE,OI0.CZCE,7384.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-30,OI0,CZCE,OI0.CZCE,7390.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-05,OI0,CZCE,OI0.CZCE,7340.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-06,OI0,CZCE,OI0.CZCE,7330.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-07,OI0,CZCE,OI0.CZCE,7350.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-08,OI0,CZCE,OI0.CZCE,7334.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-09,OI0,CZCE,OI0.CZCE,7338.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-12,OI0,CZCE,OI0.CZCE,7256.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-13,OI0,CZCE,OI0.CZCE,7278.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-14,OI0,CZCE,OI0.CZCE,7268.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-15,OI0,CZCE,OI0.CZCE,7268.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-16,OI0,CZCE,OI0.CZCE,7258.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-19,OI0,CZCE,OI0.CZCE,7258.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-20,OI0,CZCE,OI0.CZCE,7214.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-21,OI0,CZCE,OI0.CZCE,7136.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-22,OI0,CZCE,OI0.CZCE,7210.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
