month,equity_first,equity_last,monthly_return,monthly_return_pct,trade_count,win_count,gross_profit,gross_loss,profit_factor,win_rate,win_rate_pct,setup_group,group_name
2014-04,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2014-05,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2014-06,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2014-07,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2014-08,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2014-09,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2014-10,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2014-11,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2014-12,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2015-01,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2015-02,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2015-03,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2015-04,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2015-05,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2015-06,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2015-07,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2015-08,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2015-09,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2015-10,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2015-11,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2015-12,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2016-01,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2016-02,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2016-03,1000000.0,1002542.0,0.0025420000000000442,0.25%,1,1,2542.0,0.0,inf,1.0,100.00%,ALL,OI0.CZCE
2016-04,1002542.0,1001002.0,-0.0015360952458849386,-0.15%,1,0,0.0,-1540.0,0.0,0.0,0.00%,ALL,OI0.CZCE
2016-05,1001002.0,1001002.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2016-06,1001002.0,1001002.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2016-07,1001002.0,1001002.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2016-08,1001002.0,1001002.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2016-09,1001002.0,1001002.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2016-10,1001002.0,1000234.0,-0.0007672312343032228,-0.08%,1,0,0.0,-768.0,0.0,0.0,0.00%,ALL,OI0.CZCE
2016-11,1000234.0,999574.0,-0.0006598455961305261,-0.07%,1,0,0.0,-660.0,0.0,0.0,0.00%,ALL,OI0.CZCE
2016-12,999214.0,999298.0,8.40660759355849e-05,0.01%,1,0,0.0,-276.0,0.0,0.0,0.00%,ALL,OI0.CZCE
2017-01,999298.0,999298.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2017-02,999298.0,999298.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2017-03,999298.0,999298.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2017-04,999298.0,999298.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2017-05,999298.0,999298.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2017-06,999298.0,999298.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2017-07,999298.0,999298.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2017-08,999298.0,999298.0,0.0,0.00%,1,0,0.0,0.0,,0.0,0.00%,ALL,OI0.CZCE
2017-09,999298.0,999298.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2017-10,999298.0,999298.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2017-11,999298.0,999298.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2017-12,999298.0,999298.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2018-01,999298.0,999298.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2018-02,999298.0,999298.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2018-03,999298.0,999298.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2018-04,999298.0,999298.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2018-05,999298.0,995772.0,-0.0035284769908475733,-0.35%,1,0,0.0,-3526.0,0.0,0.0,0.00%,ALL,OI0.CZCE
2018-06,995772.0,995772.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2018-07,995772.0,995772.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2018-08,995772.0,995772.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
2018-09,995772.0,995772.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,OI0.CZCE
