datetime,symbol,exchange,vt_symbol,close,position,setup_type,entry_price,stop_price,highest_since_entry,realized_pnl,unrealized_pnl,equity,month_return,month_return_pct,month_stop_trading,daily_return,daily_return_pct
2014-04-09,PB0,SHFE,PB0.SHFE,13740.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-10,PB0,SHFE,PB0.SHFE,13750.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-11,PB0,SHFE,PB0.SHFE,13680.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-14,PB0,SHFE,PB0.SHFE,13690.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-15,PB0,SHFE,PB0.SHFE,13690.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-16,PB0,SHFE,PB0.SHFE,14240.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-17,PB0,SHFE,PB0.SHFE,14240.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-18,PB0,SHFE,PB0.SHFE,14290.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-21,PB0,SHFE,PB0.SHFE,14320.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-22,PB0,SHFE,PB0.SHFE,14290.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-23,PB0,SHFE,PB0.SHFE,14290.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-24,PB0,SHFE,PB0.SHFE,14420.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-25,PB0,SHFE,PB0.SHFE,13925.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-28,PB0,SHFE,PB0.SHFE,13905.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-29,PB0,SHFE,PB0.SHFE,13880.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-30,PB0,SHFE,PB0.SHFE,13900.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-01,PB0,SHFE,PB0.SHFE,13950.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-05,PB0,SHFE,PB0.SHFE,13890.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-06,PB0,SHFE,PB0.SHFE,13890.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-07,PB0,SHFE,PB0.SHFE,13905.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-08,PB0,SHFE,PB0.SHFE,13870.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-09,PB0,SHFE,PB0.SHFE,13870.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-12,PB0,SHFE,PB0.SHFE,13940.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-13,PB0,SHFE,PB0.SHFE,13940.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-14,PB0,SHFE,PB0.SHFE,14040.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-15,PB0,SHFE,PB0.SHFE,14040.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-16,PB0,SHFE,PB0.SHFE,13910.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-19,PB0,SHFE,PB0.SHFE,13965.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-20,PB0,SHFE,PB0.SHFE,14005.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-21,PB0,SHFE,PB0.SHFE,13925.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-22,PB0,SHFE,PB0.SHFE,13960.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-23,PB0,SHFE,PB0.SHFE,14070.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-26,PB0,SHFE,PB0.SHFE,14010.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-27,PB0,SHFE,PB0.SHFE,14050.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-28,PB0,SHFE,PB0.SHFE,14025.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-29,PB0,SHFE,PB0.SHFE,13995.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-30,PB0,SHFE,PB0.SHFE,13980.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-03,PB0,SHFE,PB0.SHFE,13995.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-04,PB0,SHFE,PB0.SHFE,14020.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-05,PB0,SHFE,PB0.SHFE,14020.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-06,PB0,SHFE,PB0.SHFE,14055.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-09,PB0,SHFE,PB0.SHFE,14060.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-10,PB0,SHFE,PB0.SHFE,14085.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-11,PB0,SHFE,PB0.SHFE,14105.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-12,PB0,SHFE,PB0.SHFE,14010.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-13,PB0,SHFE,PB0.SHFE,13925.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-16,PB0,SHFE,PB0.SHFE,13990.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-06-17,PB0,SHFE,PB0.SHFE,13955.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
