month,equity_first,equity_last,monthly_return,monthly_return_pct,trade_count,win_count,gross_profit,gross_loss,profit_factor,win_rate,win_rate_pct,setup_group,group_name
2014-04,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2014-05,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2014-06,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2014-07,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2014-08,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2014-09,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2014-10,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2014-11,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2014-12,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2015-01,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2015-02,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2015-03,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2015-04,1000000.0,997586.07,-0.0024139300000000086,-0.24%,1,0,0.0,-2413.93,0.0,0.0,0.00%,ALL,PB0.SHFE
2015-05,997586.07,997586.07,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2015-06,997586.07,997586.07,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2015-07,997586.07,997586.07,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2015-08,997586.07,997366.07,-0.00022053234965480062,-0.02%,1,0,0.0,-220.0,0.0,0.0,0.00%,ALL,PB0.SHFE
2015-09,997366.07,997366.07,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2015-10,997366.07,997366.07,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2015-11,997366.07,997366.07,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2015-12,997366.07,997366.07,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2016-01,997366.07,997366.07,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2016-02,997366.07,997366.07,0.0,0.00%,1,0,0.0,0.0,,0.0,0.00%,ALL,PB0.SHFE
2016-03,997366.07,997366.07,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2016-04,997366.07,997366.07,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2016-05,997366.07,997366.07,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2016-06,997366.07,997366.07,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2016-07,997366.07,998791.07,0.0014287632624196966,0.14%,1,1,1425.0,0.0,inf,1.0,100.00%,ALL,PB0.SHFE
2016-08,998791.07,996502.21,-0.0022916304207645233,-0.23%,1,0,0.0,-2288.86,0.0,0.0,0.00%,ALL,PB0.SHFE
2016-09,996502.21,996502.21,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
2016-10,1003982.21,1001522.21,-0.002450242619338794,-0.25%,2,1,5695.0,-675.0,8.437,0.5,50.00%,ALL,PB0.SHFE
2016-11,1001522.21,1012482.21,0.010943341935472306,1.09%,1,1,2660.0,0.0,inf,1.0,100.00%,ALL,PB0.SHFE
2016-12,1012132.21,1012132.21,0.0,0.00%,1,1,7950.0,0.0,inf,1.0,100.00%,ALL,PB0.SHFE
2017-01,1012132.21,1012132.21,0.0,0.00%,0,0,0.0,0.0,,,,ALL,PB0.SHFE
