symbol,exchange,vt_symbol,setup_type,entry_date,exit_date,entry_price,exit_price,quantity,turnover_entry,turnover_exit,pnl,return_pct,holding_days,entry_reason,exit_reason,initial_stop,final_stop,highest_since_entry,risk_per_unit,risk_budget,r_multiple,return_pct_str
PB0,SHFE,PB0.SHFE,NORMAL_SETUP,2015-04-23,2015-04-23,13720.0,13451.79,9,123480.0,121066.07,-2413.93,-0.01954914618908792,1,normal_breakout_with_volume_expansion,same_day_initial_stop,13451.79,13451.79,13740.0,268.21,2500.0,-1.0,-1.95%
PB0,SHFE,PB0.SHFE,NORMAL_SETUP,2015-08-14,2015-08-17,13310.0,13290.0,11,146410.0,146190.0,-220.0,-0.0015026296018031556,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,13097.54,13097.54,13395.0,212.46,2493.97,-0.09,-0.15%
PB0,SHFE,PB0.SHFE,NORMAL_SETUP,2016-02-04,2016-02-05,13750.0,13750.0,14,192500.0,192500.0,0.0,0.0,2,normal_breakout_with_volume_expansion,intraday_stop,13574.93,13750.0,14115.0,175.07,2493.42,0.0,0.00%
PB0,SHFE,PB0.SHFE,GOOD_SETUP,2016-07-26,2016-07-28,13615.0,13710.0,15,204225.0,205650.0,1425.0,0.00697759823723834,3,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,13283.04,13335.0,13860.0,331.96,4986.83,0.29,0.70%
PB0,SHFE,PB0.SHFE,NORMAL_SETUP,2016-08-02,2016-08-05,14005.0,13718.89,8,112040.0,109751.14,-2288.86,-0.020428928443923106,4,normal_breakout_with_volume_expansion,intraday_stop,13718.89,13718.89,14065.0,286.11,2496.98,-1.0,-2.04%
PB0,SHFE,PB0.SHFE,GOOD_SETUP,2016-10-10,2016-10-13,15330.0,15665.0,17,260610.0,266305.0,5695.0,0.021852576647097194,4,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,15050.71,15330.0,15915.0,279.29,4982.51,1.2,2.19%
PB0,SHFE,PB0.SHFE,GOOD_SETUP,2016-10-26,2016-10-27,16380.0,16305.0,9,147420.0,146745.0,-675.0,-0.004578754578754579,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,15838.04,15838.04,16620.0,541.96,5010.99,-0.14,-0.46%
PB0,SHFE,PB0.SHFE,GOOD_SETUP,2016-11-11,2016-11-16,17400.0,17780.0,7,121800.0,124460.0,2660.0,0.021839080459770115,4,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,16746.07,17400.0,18565.0,653.93,5007.61,0.58,2.18%
PB0,SHFE,PB0.SHFE,GOOD_SETUP,2016-11-23,2016-12-01,19010.0,20600.0,5,95050.0,103000.0,7950.0,0.08364018937401367,7,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,18065.89,20040.0,22940.0,944.11,5020.91,1.68,8.36%
PB0,SHFE,PB0.SHFE,NORMAL_SETUP,2017-02-14,2017-02-15,19990.0,19444.61,4,79960.0,77778.43,-2181.57,-0.027283284499392633,2,normal_breakout_with_volume_expansion,intraday_stop,19444.61,19444.61,20015.0,545.39,2530.33,-1.0,-2.73%
PB0,SHFE,PB0.SHFE,GOOD_SETUP,2017-07-28,2017-07-31,18185.0,18135.0,13,236405.0,235755.0,-650.0,-0.0027495188342040143,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,17816.71,17816.71,18300.0,368.29,5049.75,-0.14,-0.27%
PB0,SHFE,PB0.SHFE,NORMAL_SETUP,2017-08-01,2017-08-03,18350.0,18430.0,8,146800.0,147440.0,640.0,0.004359673024523161,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,18067.14,18067.14,18455.0,282.86,2523.25,0.28,0.44%
PB0,SHFE,PB0.SHFE,GOOD_SETUP,2017-08-18,2017-08-18,19995.0,19642.86,14,279930.0,275000.0,-4930.0,-0.01761154574357883,1,good_breakout_with_volume_expansion,same_day_initial_stop,19642.86,19642.86,20170.0,352.14,5049.7,-1.0,-1.76%
PB0,SHFE,PB0.SHFE,GOOD_SETUP,2018-01-24,2018-01-26,19740.0,19540.0,14,276360.0,273560.0,-2800.0,-0.010131712259371834,3,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,19394.43,19394.43,19890.0,345.57,5025.05,-0.58,-1.01%
PB0,SHFE,PB0.SHFE,NORMAL_SETUP,2018-05-25,2018-05-28,20000.0,19915.0,6,120000.0,119490.0,-510.0,-0.00425,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,19591.21,19591.21,20225.0,408.79,2505.53,-0.21,-0.43%
PB0,SHFE,PB0.SHFE,GOOD_SETUP,2019-08-22,2019-08-26,17145.0,16895.5,20,342900.0,337910.0,-4990.0,-0.014552347623213766,3,good_breakout_with_volume_expansion,intraday_stop,16895.5,16895.5,17190.0,249.5,5008.5,-1.0,-1.46%
PB0,SHFE,PB0.SHFE,GOOD_SETUP,2019-08-29,2019-09-04,17365.0,17320.0,24,416760.0,415680.0,-1080.0,-0.002591419522027066,5,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,17160.25,17160.25,17480.0,204.75,4983.55,-0.22,-0.26%
PB0,SHFE,PB0.SHFE,NORMAL_SETUP,2020-06-02,2020-06-03,14525.0,14595.0,7,101675.0,102165.0,490.0,0.004819277108433735,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,14193.36,14193.36,14620.0,331.64,2489.08,0.21,0.48%
PB0,SHFE,PB0.SHFE,NORMAL_SETUP,2020-07-10,2020-07-15,15135.0,15415.0,7,105945.0,107905.0,1960.0,0.01850016518004625,4,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,14784.64,15135.0,15635.0,350.36,2490.3,0.8,1.85%
PB0,SHFE,PB0.SHFE,NORMAL_SETUP,2020-07-31,2020-08-03,15590.0,15685.0,18,280620.0,282330.0,1710.0,0.006093649775497113,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,15454.5,15454.5,15725.0,135.5,2495.2,0.7,0.61%
PB0,SHFE,PB0.SHFE,NORMAL_SETUP,2020-08-04,2020-08-05,15920.0,15710.0,7,111440.0,109970.0,-1470.0,-0.013190954773869347,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,15591.11,15591.11,16015.0,328.89,2499.48,-0.64,-1.32%
