symbol,exchange,vt_symbol,setup_type,entry_date,exit_date,entry_price,exit_price,quantity,turnover_entry,turnover_exit,pnl,return_pct,holding_days,entry_reason,exit_reason,initial_stop,final_stop,highest_since_entry,risk_per_unit,risk_budget,r_multiple,return_pct_str
SR0,CZCE,SR0.CZCE,NORMAL_SETUP,2015-01-13,2015-01-21,4750.0,4822.0,27,128250.0,130194.0,1944.0,0.015157894736842105,7,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,4660.25,4662.0,4833.0,89.75,2500.0,0.8,1.52%
SR0,CZCE,SR0.CZCE,GOOD_SETUP,2015-01-26,2015-01-28,5026.0,5026.0,68,341768.0,341768.0,0.0,0.0,3,good_breakout_with_volume_expansion,intraday_stop,4952.79,5026.0,5134.0,73.21,5009.72,0.0,0.00%
SR0,CZCE,SR0.CZCE,NORMAL_SETUP,2015-03-30,2015-04-01,5313.0,5360.0,19,100947.0,101840.0,893.0,0.008846226237530586,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,5181.31,5199.86,5411.0,131.69,2504.86,0.36,0.88%
SR0,CZCE,SR0.CZCE,NORMAL_SETUP,2015-04-02,2015-04-03,5428.0,5329.0,25,135700.0,133225.0,-2475.0,-0.018238761974944732,2,normal_breakout_with_volume_expansion,intraday_stop,5329.0,5329.0,5445.0,99.0,2507.09,-1.0,-1.82%
SR0,CZCE,SR0.CZCE,NORMAL_SETUP,2015-04-14,2015-04-15,5518.0,5530.0,21,115878.0,116130.0,252.0,0.0021747009786154403,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,5400.64,5400.64,5560.0,117.36,2500.91,0.1,0.22%
SR0,CZCE,SR0.CZCE,NORMAL_SETUP,2015-04-20,2015-04-21,5589.0,5595.0,26,145314.0,145470.0,156.0,0.0010735373054213634,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,5492.95,5492.95,5644.0,96.05,2501.53,0.06,0.11%
SR0,CZCE,SR0.CZCE,NORMAL_SETUP,2015-06-30,2015-07-02,5684.0,5627.0,22,125048.0,123794.0,-1254.0,-0.010028149190710767,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,5571.56,5571.56,5721.0,112.44,2501.93,-0.51,-1.00%
SR0,CZCE,SR0.CZCE,NORMAL_SETUP,2015-09-25,2015-09-28,5590.0,5590.0,43,240370.0,240370.0,0.0,0.0,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,5532.09,5532.09,5623.0,57.91,2498.79,0.0,0.00%
SR0,CZCE,SR0.CZCE,NORMAL_SETUP,2015-12-22,2016-01-05,5662.0,5603.0,23,130226.0,128869.0,-1357.0,-0.010420346167432003,10,normal_breakout_with_volume_expansion,outside_down_reversal_exit_next_open,5557.25,5570.0,5696.0,104.75,2498.79,-0.56,-1.04%
SR0,CZCE,SR0.CZCE,NORMAL_SETUP,2016-04-19,2016-04-22,5695.0,5723.0,26,148070.0,148798.0,728.0,0.004916593503072871,4,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,5601.43,5601.43,5775.0,93.57,2495.4,0.3,0.49%
SR0,CZCE,SR0.CZCE,GOOD_SETUP,2016-06-06,2016-06-08,5675.0,5682.0,53,300775.0,301146.0,371.0,0.0012334801762114538,3,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,5581.29,5587.43,5732.0,93.71,4994.44,0.07,0.12%
SR0,CZCE,SR0.CZCE,NORMAL_SETUP,2016-09-27,2016-09-30,6615.0,6705.0,20,132300.0,134100.0,1800.0,0.013605442176870748,4,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,6494.07,6615.0,6765.0,120.93,2498.14,0.74,1.36%
SR0,CZCE,SR0.CZCE,GOOD_SETUP,2016-10-25,2016-10-27,6890.0,6886.0,35,241150.0,241010.0,-140.0,-0.0005805515239477503,3,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,6750.14,6750.14,6931.0,139.86,5005.29,-0.03,-0.06%
SR0,CZCE,SR0.CZCE,NORMAL_SETUP,2019-04-11,2019-04-12,5208.0,5221.0,31,161448.0,161851.0,403.0,0.0024961597542242702,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,5129.07,5129.07,5284.0,78.93,2502.3,0.16,0.25%
SR0,CZCE,SR0.CZCE,GOOD_SETUP,2019-08-12,2019-08-14,5496.0,5598.0,39,214344.0,218322.0,3978.0,0.018558951965065504,3,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,5369.81,5405.0,5607.0,126.19,5006.61,0.81,1.86%
SR0,CZCE,SR0.CZCE,NORMAL_SETUP,2020-01-08,2020-01-15,5722.0,5889.0,28,160216.0,164892.0,4676.0,0.02918559944075498,6,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,5633.43,5722.0,5921.0,88.57,2513.25,1.89,2.92%
SR0,CZCE,SR0.CZCE,NORMAL_SETUP,2020-09-09,2020-09-09,5248.0,5166.68,31,162688.0,160167.04,-2520.96,-0.015495699041811821,1,normal_breakout_with_volume_expansion,same_day_initial_stop,5166.68,5166.68,5248.0,81.32,2524.94,-1.0,-1.55%
SR0,CZCE,SR0.CZCE,GOOD_SETUP,2021-01-18,2021-01-19,5435.0,5435.0,40,217400.0,217400.0,0.0,0.0,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,5310.93,5310.93,5490.0,124.07,5037.27,0.0,0.00%
SR0,CZCE,SR0.CZCE,NORMAL_SETUP,2021-04-20,2021-04-23,5449.0,5494.0,36,196164.0,197784.0,1620.0,0.008258396035969904,4,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,5380.05,5380.05,5495.0,68.95,2518.64,0.65,0.83%
