symbol,exchange,vt_symbol,annualized_volatility,annualized_volatility_pct,bars_count
RR0,DCE,RR0.DCE,0.11385450122255979,11.39%,1062
AU0,SHFE,AU0.SHFE,0.12996852697282932,13.00%,2191
SR0,CZCE,SR0.CZCE,0.15049169302810558,15.05%,2187
AL0,SHFE,AL0.SHFE,0.1792724907830948,17.93%,2190
CU0,SHFE,CU0.SHFE,0.17950800597385944,17.95%,2190
A0,DCE,A0.DCE,0.18413375691162137,18.41%,2189
PB0,SHFE,PB0.SHFE,0.18560446975666714,18.56%,2190
BC0,INE,BC0.INE,0.19207282868127476,19.21%,758
OI0,CZCE,OI0.CZCE,0.1987968588136602,19.88%,2181
PK0,CZCE,PK0.CZCE,0.20414124713652224,20.41%,707
